Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA)
0.748118401,92.25781,15372286728.0913,4.106875,266.25
1.748330116,92.25781,15372286728.0913,4.105,280.3125
2.748719216,92.25781,3559.5,4.104375,265.9375
3.749471188,92.24609,1433.8125,4.1075,281.5625
4.749779701,92.23438,992.25,4.105,275.3125
5.750313282,92.23438,736.40625,4.104375,266.25
6.750355244,92.22266,594.84375,4.101875,278.125
7.750929356,92.22266,506.625,4.105,270.625
8.751301766,92.21094,455.34375,4.103125,260.3125
9.751606941,92.19922,410.15625,4.10125,266.875
10.752109528,92.19922,374.8125,4.101875,278.75
11.752786637,92.1875,349.5,4.095625,266.5625
12.754255295,92.1875,327.375,4.103125,265.3125
13.754535675,92.17188,309.28125,4.09875,277.5
14.755125523,92.16016,296.53125,4.1,287.5
15.755454064,92.16016,283.78125,4.098125,275
16.756164551,92.14844,273.75,4.09625,269.375
17.756434441,92.13672,265.03125,4.09875,261.875
18.756738186,92.13672,257.4375,4.0975,278.4375
19.757340908,92.125,251.0625,4.0975,255.9375
20.758498192,92.125,246.28125,4.09625,289.0625
21.759355068,92.11328,240.9375,4.096875,270.9375
22.759788990,92.10156,236.71875,4.096875,267.8125
23.760230541,92.10156,232.6875,4.096875,265.3125
24.760470390,92.08984,229.78125,4.0925,274.375
25.761236191,92.07422,226.03125,4.095625,263.4375
26.761820793,92.07422,223.875,4.094375,260
