Time (s),Humidity (%)
0.927386761,16.79492
1.928767205,17.71094
2.927681923,16.4248
3.926596165,16.96973
4.927977085,16.92383
5.926891804,16.93555
6.928272724,15.83398
7.927187920,17.13281
8.928568840,16.68066
9.927483559,17.6543
10.928864479,17.04004
11.927778721,18.65039
12.926693917,20.30664
13.928074837,21.35938
14.926989556,22.34277
15.928369999,22.5166
16.927283764,22.22656
17.928663254,20.07324
18.927576542,19.66699
19.926488877,21.27637
20.927867413,20.19922
21.926778317,20.41797
22.928155899,20.18652
23.927067280,21.80566
24.928443432,21.23828
25.927353382,19.94141
26.928729058,19.77832
